SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7043;2400;Rosenvænget Sogn;København;480147;217650;162167;388584;572122;264172;200168;459050;7530;1480;11410;491187;234267;174739;372766
7044;2850;Sankt Jakobs Sogn;København;466892;221229;160763;352253;549138;251062;180619;419719;5710;1080;9640;491187;234267;174739;372766
7046;1480;Hans Egedes Sogn;København;491175;210781;165990;387203;610357;262653;189531;477026;4810;1130;7410;491187;234267;174739;372766
7050;1220;Anna Sogn;København;411798;194043;154471;312866;425678;206556;173076;335068;3670;1090;5970;491187;234267;174739;372766
7051;2410;Sankt Stefans Sogn;København;391497;195331;157365;269685;404488;202098;170419;307957;5700;2150;10260;491187;234267;174739;372766
7053;4410;Kingo-Samuel Sogn;København;377589;193192;155858;247901;386841;192449;167867;286288;8940;4090;17440;491187;234267;174739;372766
7054;1570;Aldersro Sogn;København;420294;208944;139505;257202;453194;225319;158057;316359;3040;1730;6340;491187;234267;174739;372766
7055;2120;Kildevælds Sogn;København;419458;214218;162485;309619;450801;231833;176955;346759;4840;1530;8490;491187;234267;174739;372766
7056;2570;Sions Sogn;København;474510;227892;169069;341554;692292;306035;188318;512032;4240;730;7530;491187;234267;174739;372766
7057;2270;Hyltebjerg Sogn;København;417942;226315;169495;328822;468120;244395;180329;367879;4810;1080;8160;491187;234267;174739;372766
7058;2460;Vanløse Sogn;København;453775;222141;161532;354351;525559;244447;177692;411627;5240;790;8500;491187;234267;174739;372766
7059;1660;Advents Sogn;København;426569;219977;166141;331366;474763;233940;181524;369828;3730;880;6260;491187;234267;174739;372766
7060;1770;Grøndals Sogn;København;433837;224695;160653;342959;483878;252883;172965;381450;4140;950;6860;491187;234267;174739;372766
7061;2300;Ansgarkirkens Sogn;København;366799;193885;154860;254304;377309;193828;167620;286048;4460;1640;8400;491187;234267;174739;372766
7062;1610;Kapernaums Sogn;København;379262;191290;157992;264253;389776;194008;170022;296636;4660;2130;8400;491187;234267;174739;372766
7063;1740;Tagensbo Sogn;København;368084;195851;159383;248068;373975;193816;171445;280430;3370;1510;6620;491187;234267;174739;372766
7064;3280;Bispebjerg Sogn;København;364639;214102;155386;248957;385465;211362;167560;287568;3980;1170;8430;491187;234267;174739;372766
7065;1280;Emdrup Sogn;København;424535;208418;144285;290339;488915;227899;171056;359273;2010;490;3790;491187;234267;174739;372766
7066;2090;Lundehus Sogn;København;389575;217741;150631;254216;437441;221215;163882;311316;2410;790;5280;491187;234267;174739;372766
7067;2560;Husum Sogn;København;441314;214371;158300;329340;498884;220802;173621;381179;4500;570;7630;491187;234267;174739;372766
7068;1750;Brønshøj Sogn;København;460088;220036;159174;364837;530721;248924;181556;420196;4320;750;6820;491187;234267;174739;372766
7070;2700;Husumvold Sogn;København;379212;202977;149931;258580;402860;207015;171549;301515;3180;510;6390;491187;234267;174739;372766
7080;4500;Islands Brygges Sogn;København;467295;211749;165042;377853;545965;258131;179047;440020;15820;3280;23610;491187;234267;174739;372766
7081;1520;Christians Sogn;København;438901;223003;150703;325987;543064;275466;168259;411309;3350;970;5840;491187;234267;174739;372766
7082;3370;Vor Frelsers Sogn;København;439025;225816;148272;292406;535427;259658;166008;385350;5970;2150;11500;491187;234267;174739;372766
7083;1520;Nathanaels Sogn;København;402004;202028;164516;296899;423474;213211;170293;328871;3810;1160;6500;491187;234267;174739;372766
7084;4280;Sundby Sogn;København;389130;203755;154173;254812;406522;208214;161657;294681;7180;3250;14720;491187;234267;174739;372766
7085;2590;Allehelgens Sogn;København;409557;216641;164545;306152;444221;233607;173524;349629;6250;1650;10500;491187;234267;174739;372766
7086;2180;Filips Sogn;København;393987;200047;165162;305513;417484;216128;176571;331147;5840;1640;9660;491187;234267;174739;372766
7087;1400;Sundkirkens Sogn;København;474101;230309;160358;375814;566489;282631;173402;453187;3750;670;5820;491187;234267;174739;372766
7088;2770;Højdevangs Sogn;København;421900;214185;148537;318035;470479;234177;167098;365839;5630;1130;9530;491187;234267;174739;372766
7089;1960;Simon Peters Sogn;København;448910;212675;165474;357177;513622;235375;183965;408298;4590;650;7190;491187;234267;174739;372766
7090;3150;Solvang Sogn;København;416552;202852;134375;260329;449877;224147;146125;318563;4450;1670;9260;491187;234267;174739;372766
7102;1270;Sankt Lukas Sogn;Frederiksberg;458045;220866;175132;365614;501530;238105;190016;397843;3400;720;5390;581192;306540;178266;447892
7103;1910;Solbjerg Sogn;Frederiksberg;488924;240260;165127;368580;620426;506995;175016;527466;4210;1000;7120;581192;306540;178266;447892
7104;3470;Lindevang Sogn;Frederiksberg;439433;227432;164851;314705;525942;266699;174637;391577;5760;1570;10800;581192;306540;178266;447892
7105;3640;Flintholm Sogn;Frederiksberg;420982;235038;163876;283848;519504;268092;171636;370027;3550;810;8000;581192;306540;178266;447892
7106;1740;Sankt Thomas Sogn;Frederiksberg;473022;236140;156420;370788;536484;277907;183973;423614;4300;970;7000;581192;306540;178266;447892
7107;3080;Mariendals Sogn;Frederiksberg;455082;229940;160088;346378;551566;292798;174502;425359;6350;1560;10990;581192;306540;178266;447892
7108;2790;Godthaabs Sogn;Frederiksberg;487380;242587;174871;375874;612531;305510;188219;471430;5120;910;8830;581192;306540;178266;447892
7109;2500;Sankt Markus Sogn;Frederiksberg;506624;241258;162142;389867;648011;321738;186450;509435;5070;720;8290;581192;306540;178266;447892
7110;1390;Helleruplund Sogn;Gentofte;627004;264493;165882;475291;1038626;408341;195251;805388;2790;160;4340;968238;471492;201180;760944
7111;1310;Gentofte Sogn;Gentofte;605548;273233;161011;469026;883471;400763;207252;701177;2410;100;3820;968238;471492;201180;760944
7112;1880;Jægersborg Sogn;Gentofte;620286;262720;166984;452705;1017798;423241;198061;781789;3320;190;5390;968238;471492;201180;760944
7113;2550;Vangede Sogn;Gentofte;469269;230921;171248;349478;562775;266759;191214;434841;4520;620;7690;968238;471492;201180;760944
7114;1870;Dyssegård Sogn;Gentofte;536422;240182;159025;427632;655624;294434;200748;527269;4390;390;6650;968238;471492;201180;760944
7115;3510;Ordrup Sogn;Gentofte;539581;262751;171219;400059;945580;506001;202587;746402;5280;380;9170;968238;471492;201180;760944
7116;1800;Skovshoved Sogn;Gentofte;595714;260387;148468;454736;1335420;804711;195236;1113650;3220;170;5190;968238;471492;201180;760944
7117;2000;Hellerup Sogn;Gentofte;565250;262206;160531;424581;1297089;664787;238470;1009218;3040;240;5290;968238;471492;201180;760944
7118;1660;Maglegårds Sogn;Gentofte;663135;280839;159590;496431;1364110;500253;191557;1004450;2570;110;4330;968238;471492;201180;760944
7119;3700;Kongens Lyngby Sogn;Lyngby-Taarbæk;456543;234460;127349;308490;600704;270799;150212;420989;5200;1400;10300;692598;330907;165952;527791
7120;2110;Christians Sogn;Lyngby-Taarbæk;491108;250144;164644;388366;611629;299848;189949;482445;4290;580;6970;692598;330907;165952;527791
7121;2220;Virum Sogn;Lyngby-Taarbæk;586640;267520;159825;472330;792637;378837;191701;651800;5240;290;7750;692598;330907;165952;527791
7122;1620;Sorgenfri Sogn;Lyngby-Taarbæk;551166;262199;158353;415951;710207;399045;194446;574699;2680;210;4500;692598;330907;165952;527791
7123;3280;Lundtofte Sogn;Lyngby-Taarbæk;524146;248642;128384;377689;662447;306822;160386;492628;5240;840;9360;692598;330907;165952;527791
7124;420;Taarbæk Sogn;Lyngby-Taarbæk;553805;263838;176040;439790;1294604;718635;178492;1059999;700;20;1140;692598;330907;165952;527791
7125;1700;Søllerød Sogn;Rudersdal;664907;280718;114841;474652;1109175;515735;133635;816958;3220;630;5560;905598;452610;180381;707420
7126;2080;Vedbæk Sogn;Rudersdal;622513;285265;210909;474375;1580532;790672;273439;1244521;3080;100;5260;905598;452610;180381;707420
7127;1710;Ny Holte Sogn;Rudersdal;628117;288519;166316;473261;1138653;634856;229585;927178;2690;100;4500;905598;452610;180381;707420
7128;1440;Gammel Holte Sogn;Rudersdal;549845;261424;157170;389689;730220;382705;180807;563855;2120;240;3790;905598;452610;180381;707420
7129;1830;Nærum Sogn;Rudersdal;475207;247231;161885;357375;600780;306021;185851;453605;2180;190;4200;905598;452610;180381;707420
7130;2310;Gladsaxe Sogn;Gladsaxe;448831;229423;152156;345466;496061;241049;165150;390537;4580;610;7500;513430;245391;172773;398443
7131;2050;Søborggård Sogn;Gladsaxe;447214;228707;160899;352544;505795;249282;180366;403881;4180;490;6720;513430;245391;172773;398443
7132;2790;Bagsværd Sogn;Gladsaxe;466685;232856;158901;341263;569817;262982;185430;436326;4580;510;7870;513430;245391;172773;398443
7133;2470;Stengård Sogn;Gladsaxe;493879;237340;124032;375691;569882;265302;144064;432034;5130;1030;8630;513430;245391;172773;398443
7134;2280;Mørkhøj Sogn;Gladsaxe;423191;228409;169275;332917;466526;227810;191017;369894;4200;460;6940;513430;245391;172773;398443
7135;1670;Herlev Sogn;Herlev;388720;231298;181647;288375;406948;227633;192406;315998;2060;320;4060;475408;242231;172858;371270
7136;1470;Præstebro Sogn;Herlev;425618;217887;151532;334919;464615;235361;170699;367887;2820;400;4690;475408;242231;172858;371270
7137;3680;Rødovre Sogn;Rødovre;406787;223971;168676;313729;455940;234285;178182;356596;6000;820;10500;460263;234651;182507;363408
7138;2120;Grøndalslund Sogn;Rødovre;439034;229343;162409;346202;481793;235051;174939;378942;3460;250;5830;460263;234651;182507;363408
7139;2920;Islev Sogn;Rødovre;418688;225278;169614;336874;451202;232706;187333;363328;5060;360;8350;460263;234651;182507;363408
7140;1760;Hendriksholm Sogn;Rødovre;418574;228358;176886;315686;460694;241356;197023;363068;2680;280;4730;460263;234651;182507;363408
7141;2380;Hvidovre Sogn;Hvidovre;421753;218887;151246;327775;453093;236868;163151;356771;4660;850;7890;465915;233650;176099;364923
